DATE,GBPUSD
26/12/13,1.6425
27/12/13,1.6491
30/12/13,1.6522
31/12/13,1.6574
01/01/14,.
02/01/14,1.6441
03/01/14,1.6424
06/01/14,1.6412
07/01/14,1.6421
08/01/14,1.6461
09/01/14,1.6459
10/01/14,1.647
13/01/14,1.6379
14/01/14,1.645
15/01/14,1.6375
16/01/14,1.6335
17/01/14,1.6429
20/01/14,.
21/01/14,1.6469
22/01/14,1.6571
23/01/14,1.6612
24/01/14,1.6491
27/01/14,1.6588
28/01/14,1.6581
29/01/14,1.6561
30/01/14,1.6487
31/01/14,1.645
03/02/14,1.6307
04/02/14,1.63
05/02/14,1.6308
06/02/14,1.6345
07/02/14,1.6395
10/02/14,1.6419
11/02/14,1.6468
12/02/14,1.6578
13/02/14,1.6643
14/02/14,1.6736
17/02/14,.
18/02/14,1.6696
19/02/14,1.6718
20/02/14,1.664
21/02/14,1.663
24/02/14,1.6641
25/02/14,1.6696
26/02/14,1.6648
27/02/14,1.6693
28/02/14,1.675
03/03/14,1.6712
04/03/14,1.6665
05/03/14,1.6729
06/03/14,1.6743
07/03/14,1.6725
10/03/14,1.6633
11/03/14,1.6628
12/03/14,1.6605
13/03/14,1.6677
14/03/14,1.663
17/03/14,1.6645
18/03/14,1.6574
19/03/14,1.6629
20/03/14,1.6511
21/03/14,1.6498
24/03/14,1.6491
25/03/14,1.6507
26/03/14,1.6566
27/03/14,1.6627
28/03/14,1.6637
31/03/14,1.6675
01/04/14,1.6639
02/04/14,1.6634
03/04/14,1.6583
04/04/14,1.6594
07/04/14,1.6616
08/04/14,1.6743
09/04/14,1.6751
10/04/14,1.6781
11/04/14,1.6736
14/04/14,1.6741
15/04/14,1.6725
16/04/14,1.6794
17/04/14,1.6809
18/04/14,1.6792
21/04/14,1.6792
22/04/14,1.6833
23/04/14,1.6768
24/04/14,1.6797
25/04/14,1.681
28/04/14,1.6812
29/04/14,1.6829
30/04/14,1.6883
01/05/14,1.69
02/05/14,1.6865
05/05/14,1.687
06/05/14,1.6976
07/05/14,1.6964
08/05/14,1.6944
09/05/14,1.6849
12/05/14,1.6871
13/05/14,1.6838
14/05/14,1.6784
15/05/14,1.6791
16/05/14,1.6827
19/05/14,1.6822
20/05/14,1.6847
21/05/14,1.6869
22/05/14,1.6859
23/05/14,1.6822
26/05/14,.
27/05/14,1.68
28/05/14,1.6709
29/05/14,1.6719
30/05/14,1.6764
02/06/14,1.6756
03/06/14,1.6753
04/06/14,1.6747
05/06/14,1.6796
06/06/14,1.6794
09/06/14,1.6798
10/06/14,1.6753
11/06/14,1.6795
12/06/14,1.6853
13/06/14,1.6953
16/06/14,1.6988
17/06/14,1.6965
18/06/14,1.6951
19/06/14,1.7046
20/06/14,1.7014
23/06/14,1.701
24/06/14,1.6971
25/06/14,1.6986
26/06/14,1.7018
27/06/14,1.7016
30/06/14,1.7105
01/07/14,1.7147
02/07/14,1.7165
03/07/14,1.7152
04/07/14,.
07/07/14,1.7128
08/07/14,1.7127
09/07/14,1.713
10/07/14,1.7122
11/07/14,1.7108
14/07/14,1.7079
15/07/14,1.7149
16/07/14,1.7131
17/07/14,1.7104
18/07/14,1.7069
21/07/14,1.7067
22/07/14,1.7058
23/07/14,1.7036
24/07/14,1.6981
25/07/14,1.6972
28/07/14,1.6991
29/07/14,1.6939
30/07/14,1.6903
31/07/14,1.6889
01/08/14,1.6832
04/08/14,1.6841
05/08/14,1.6874
06/08/14,1.6833
07/08/14,1.6849
08/08/14,1.6778
11/08/14,1.6787
12/08/14,1.6806
13/08/14,1.6696
14/08/14,1.6694
15/08/14,1.6686
18/08/14,1.672
19/08/14,1.662
20/08/14,1.6633
21/08/14,1.6589
22/08/14,1.6574
25/08/14,1.6585
26/08/14,1.657
27/08/14,1.6573
28/08/14,1.6579
29/08/14,1.6585
01/09/14,.
02/09/14,1.6502
03/09/14,1.6451
04/09/14,1.6349
05/09/14,1.6312
08/09/14,1.6141
09/09/14,1.6088
10/09/14,1.6134
11/09/14,1.6225
12/09/14,1.6243
15/09/14,1.6243
16/09/14,1.629
17/09/14,1.6329
18/09/14,1.6372
19/09/14,1.6314
22/09/14,1.634
23/09/14,1.637
24/09/14,1.6344
25/09/14,1.6313
26/09/14,1.6254
29/09/14,1.6262
30/09/14,1.622
01/10/14,1.6216
02/10/14,1.614
03/10/14,1.5962
06/10/14,1.6029
07/10/14,1.6072
08/10/14,1.6068
09/10/14,1.6123
10/10/14,1.6049
13/10/14,.
14/10/14,1.593
15/10/14,1.5959
16/10/14,1.6065
17/10/14,1.6086
20/10/14,1.6137
21/10/14,1.6134
22/10/14,1.607
23/10/14,1.6037
24/10/14,1.6098
27/10/14,1.6133
28/10/14,1.6157
29/10/14,1.6149
30/10/14,1.6023
31/10/14,1.5999
03/11/14,1.5986
04/11/14,1.5991
05/11/14,1.5984
06/11/14,1.5862
07/11/14,1.5844
10/11/14,1.5857
11/11/14,.
12/11/14,1.5815
13/11/14,1.5717
14/11/14,1.5657
17/11/14,1.5645
18/11/14,1.5648
19/11/14,1.567
20/11/14,1.5683
21/11/14,1.5672
24/11/14,1.5701
25/11/14,1.5714
26/11/14,1.5787
27/11/14,.
28/11/14,1.5638
01/12/14,1.5743
02/12/14,1.5651
03/12/14,1.57
04/12/14,1.5707
05/12/14,1.56
08/12/14,1.5625
09/12/14,1.5694
10/12/14,1.5689
11/12/14,1.5712
12/12/14,1.5728
